Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,China,CHN,16699215995.6,23719315917.2,35339526722.2,42438957562.4,44932469163.1,55301409898.8,60259186451.5,72538895534.7,86092752669.9,100667359411.3,118314843047,129037039407.6,146904623209.9,144214433291.8,148825573986.7,145906872763.7,184315443994.2,185465746540.1,207180503978.3,247359209017.2,285857036926.9,326419519861.6,377749152515.9,386423097229.7,454495613318.6,742737476056.6,1054209569422.7,1148164368937.8,1480476659937.3,1778380562695.9,1333768986063.5,1413904270462.7,1704593806231.6,1961562462976.8,2114161989828.3,2326751308052.6,2702504713266.6
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Colombia,COL,14474612765.2,15583214225.9,17237208187.3,17214277533.7,17075305862.5,17411174140.2,17383347947.8,17560822308.2,19227912007.6,22219527944.1,25347081126.7,29206623223.1,32277648233.6,33420800455.2,34845494450.5,34329248550.6,36614196486.3,33581481521.5,37324166936.2,38237909040.2,37497341480,38621303304.6,44323265169.8,47039916554.3,53678222227.4,64432098617.3,76162726605.4,79246355565.4,92639778558.3,104603270439.7,113363407932.3,120809780762,126055312330.1,133251139229.2,138907348031.8,155695626470.8,171993026851.8
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Comoros,COM,134214350.2,166566409.2,203347529.5,199821386.3,174684281.4,184825142.1,179473164.4,187894213.8,185123541.7,197159439.1,208925905.4,220902346.9,222230696.3,229844128.3,231531804.5,232285377.4,242747448.1,270536977.6,289991668.2,304262777.8,288623246,293423707,287667291,276201185.1,286766514,278373937.8,275725988.2,252320769.6,147531305,141753606.4,130562671.9,179966571.8,186606215,244985939.8,264213198.6,301131309.5,336671453.8
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,"Congo, Dem. Rep.",COD,6171267764.4,7190751346.9,8749837481.9,8553690732.6,9243644818.9,10250731587,10831930650.9,10995017088.9,11263657313.4,12311690430.3,13229233701.9,12819900506.7,12326993316.6,13192158065.4,12155730264.7,11804397525.6,11612181086.8,10051613856,11433512788,11524216857.1,10683990345.3,11326304418.6,12459468772.6,13196407089.8,14093038536.4,7236642481.8,6673720855.3,6915749625.9,7532472906.2,7259886984.1,7105954207.4,6799565632.4,6919569441.8,6849039893.5,7568865790.1,8161220162.5,10288150918.8
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,"Congo, Rep.",COG,3041335207.5,3504475080.8,4282641894.3,4050960428.6,4230144754,4916034648.2,4786605644.8,4725658540,5092940382.6,5414066741.8,6009994883.9,5220897392.4,5032532283.5,5100294660.3,5028225458.1,4675949721.5,4820677198.8,5012243895.3,5537629589.3,6834196169.1,6294723995.9,6685623799.7,5281147795.4,5237381716,5051234770.7,2793286602.2,3188813925.7,3582352797.8,4198090943.7,4782850140.7,4920000602,4811917828.6,5463696503.7,5183247891.7,5353424817.7,5305827439.2,6965719977.4
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Costa Rica,CRI,4515709486.9,4689766359.3,4831924390,4632683952.5,4686482144.7,3845937733.1,4106608753.4,4014350297.7,3937428106,3971807626.7,3857695605,3528323424.1,3505532963.5,3961189288.2,4215090815.1,4692408663.5,4886538321.9,5070865565.3,5650888483.3,5710643831.6,6485430911.5,6993562813.7,8410942483.7,8838788690.4,7760168636.8,8154409880.2,10271452441.9,14310369459.3,17134572924.6,19722088699.2,23588779506.4,25562670955.2,25615909360.8,28369279758.1,29800758229,31269331814.7,33787823208.8
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cote d'Ivoire,CIV,9658933260.7,11449812391,13577082328.8,13342278908.3,14820639273.8,17251135160,18174037181.8,18546521961.1,19070886308.1,17395169456.9,18898425486.5,19523620342.2,15608687763.3,14851815127.1,13221902540.7,12059905375.8,11620368633.5,11708673980.2,11680518563.4,13178855340.3,12010684931.6,13644008874.8,14385487798.1,12967578597.9,14895852333.1,11703427489.9,12791036139.9,9543206491.6,9855297626.3,9805804583.5,11387731266.8,11457186653.5,13449134231.4,16197579095.1,19831484538.4,25107042092.4,29752406899.8
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Djibouti,DJI,95976961.9,119266842.7,154398153.6,158287377.7,131250168.3,155287776.6,204846570,219983628.2,232491922.3,257722565.5,272609469.8,287861627.6,262911137.8,279286678.7,269605349.7,297885046.7,299712992.6,358712496.2,395630618.8,460336601.1,486891630.5,566640519.7,810010699.4,845231817.3,898678026.1,768541095.7,769520335.7,802385752.1,820599815.1,943103980.6,1227496569.6,1702240895.4,2266964232.8,2321379194.7,2552579803.4,2679027858.3,3191138250.9
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Dominica,DMA,58688420.9,61404138.2,75382488.2,76660400.7,80613353.7,90754904.8,98099584.9,97714468.8,98251335.7,99698516.3,104872376.3,116474724,105116658.4,113898854.9,134177325.7,183329449.5,232891070.6,248883164.5,307393729.2,324952433,294216801.6,272826815,265526478.1,260470785.8,271883558.1,271398373.2,280448697.4,304777493.7,309862659,308231897.2,317214934.8,300168362.9,299719824.9,278303809,277942461.4,329972931.5,377964173.7
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Dominican Republic,DOM,3573469225.6,3762208698.8,4012437196.7,4072680854.7,4159662668.6,4484666420.4,4599353573,4716244896.4,4957324456.8,4366328681.9,4532953461.9,4414764302,4309979738.7,4473713207.6,4794696438.9,4617977128,5212380882.2,6574924040.6,7276848800,7818993970.6,7751825568.3,9219827515.2,10747913578.6,10609348066.3,11853860787.9,13498619112.4,15097329632.2,22101544978.2,23957826085.2,26269413480.3,26727445939.7,28291425524.5,29455812951.6,31864082651.9,34164838459.1,40262655187,43711557717.7
